Company,Year,Department,Allocated_Budget
Company_1,2005,R&D,16795277.75
Company_1,2005,HR,5206334.95
Company_1,2005,Marketing,20432089.54
Company_1,2005,IT Support,17251360.35
Company_1,2005,Product Development,12219383.93
Company_1,2005,Sales,15461223.44
Company_1,2005,Finance,5619229.46
Company_1,2005,Security,5845330.37
Company_1,2005,Customer Success,7373211.38
Company_1,2005,Business Intelligence,19989249.54
Company_1,2005,Operations,4619173.16
Company_1,2005,Legal,19888300.65
Company_1,2006,R&D,11784326.38
Company_1,2006,HR,16150724.48
Company_1,2006,Marketing,10739112.93
Company_1,2006,IT Support,29397436.08
Company_1,2006,Product Development,27877018.02
Company_1,2006,Sales,22110499.67
Company_1,2006,Finance,11192082.39
Company_1,2006,Security,11800911.04
Company_1,2006,Customer Success,7956718.64
Company_1,2006,Business Intelligence,16907387.7
Company_1,2006,Operations,7163964.18
Company_1,2006,Legal,7481136.82
Company_1,2007,R&D,11887230.63
Company_1,2007,HR,9246349.77
Company_1,2007,Marketing,17439545.19
Company_1,2007,IT Support,11512343.12
Company_1,2007,Product Development,14434847.61
Company_1,2007,Sales,19275984.43
Company_1,2007,Finance,19718574.29
Company_1,2007,Security,16959178.29
Company_1,2007,Customer Success,17339608.51
Company_1,2007,Business Intelligence,15309962.2
Company_1,2007,Operations,9353414.03
Company_1,2007,Legal,21027379.54
Company_1,2008,R&D,20049188.18
Company_1,2008,HR,31960380.04
Company_1,2008,Marketing,7255403.79
Company_1,2008,IT Support,15634816.53
Company_1,2008,Product Development,17285792.37
Company_1,2008,Sales,13298250.19
Company_1,2008,Finance,7584015.62
Company_1,2008,Security,8917185.87
Company_1,2008,Customer Success,14869479.95
Company_1,2008,Business Intelligence,23445673.31
Company_1,2008,Operations,15164009.49
Company_1,2008,Legal,15450428.01
Company_1,2009,R&D,17913341.78
Company_1,2009,HR,20187769.21
Company_1,2009,Marketing,8004462.34
Company_1,2009,IT Support,4636279.75
Company_1,2009,Product Development,12642619.22
Company_1,2009,Sales,10371937.05
Company_1,2009,Finance,17182759.81
Company_1,2009,Security,7193166.15
Company_1,2009,Customer Success,13781103.65
Company_1,2009,Business Intelligence,19924582.44
Company_1,2009,Operations,13150429.93
Company_1,2009,Legal,8298389.07
Company_1,2010,R&D,14735556.32
Company_1,2010,HR,6247164.83
Company_1,2010,Marketing,15440481.8
Company_1,2010,IT Support,8915248.61
Company_1,2010,Product Development,6996569.74
Company_1,2010,Sales,17670976.03
Company_1,2010,Finance,24218950.67
Company_1,2010,Security,11852917.32
Company_1,2010,Customer Success,6761271.95
Company_1,2010,Business Intelligence,22094848.69
Company_1,2010,Operations,17457317.72
Company_1,2010,Legal,21629567.87
Company_1,2011,R&D,14801481.13
Company_1,2011,HR,16443900.78
Company_1,2011,Marketing,14875454.67
Company_1,2011,IT Support,3476547.87
Company_1,2011,Product Development,5416563.37
Company_1,2011,Sales,4559999.13
Company_1,2011,Finance,15750599.55
Company_1,2011,Security,10678115.03
Company_1,2011,Customer Success,13866158.85
Company_1,2011,Business Intelligence,4159113.15
Company_1,2011,Operations,11796199.57
Company_1,2011,Legal,4211696.2
Company_1,2012,R&D,22121147.29
Company_1,2012,HR,19384620.78
Company_1,2012,Marketing,9397600.94
Company_1,2012,IT Support,11774618.56
Company_1,2012,Product Development,11916794.89
Company_1,2012,Sales,15272217.77
Company_1,2012,Finance,22076296.71
Company_1,2012,Security,16544993.18
Company_1,2012,Customer Success,8453049.77
Company_1,2012,Business Intelligence,16808535.86
Company_1,2012,Operations,14359285.79
Company_1,2012,Legal,21034630.53
Company_1,2013,R&D,8596008.98
Company_1,2013,HR,12297080.36
Company_1,2013,Marketing,12979689.03
Company_1,2013,IT Support,6364426.96
Company_1,2013,Product Development,28048632.25
Company_1,2013,Sales,27398475.96
Company_1,2013,Finance,25750541.64
Company_1,2013,Security,10963604.12
Company_1,2013,Customer Success,16645432.71
Company_1,2013,Business Intelligence,9940246.47
Company_1,2013,Operations,13880187.6
Company_1,2013,Legal,14971107.07
Company_1,2014,R&D,18492517.52
Company_1,2014,HR,16854774.36
Company_1,2014,Marketing,12398098.97
Company_1,2014,IT Support,11737469.9
Company_1,2014,Product Development,15972998.69
Company_1,2014,Sales,11435450.02
Company_1,2014,Finance,18028756.3
Company_1,2014,Security,5548047.39
Company_1,2014,Customer Success,13203040.35
Company_1,2014,Business Intelligence,10653509.41
Company_1,2014,Operations,7739287.31
Company_1,2014,Legal,17300816.29
Company_1,2015,R&D,12849289.13
Company_1,2015,HR,15686625.09
Company_1,2015,Marketing,20055006.82
Company_1,2015,IT Support,15091355.97
Company_1,2015,Product Development,15469896.74
Company_1,2015,Sales,6955386.91
Company_1,2015,Finance,21477330.53
Company_1,2015,Security,5602722.24
Company_1,2015,Customer Success,7289601.13
Company_1,2015,Business Intelligence,16784805.21
Company_1,2015,Operations,20211644.42
Company_1,2015,Legal,12517217.86
Company_1,2016,R&D,5596096.55
Company_1,2016,HR,10465791.23
Company_1,2016,Marketing,10149167.61
Company_1,2016,IT Support,14523084.64
Company_1,2016,Product Development,15091928.21
Company_1,2016,Sales,14360648.55
Company_1,2016,Finance,9055103.42
Company_1,2016,Security,8254861.26
Company_1,2016,Customer Success,8546808.04
Company_1,2016,Business Intelligence,6448499.82
Company_1,2016,Operations,8806966.83
Company_1,2016,Legal,13341897.24
Company_1,2017,R&D,9543735.08
Company_1,2017,HR,7133530.92
Company_1,2017,Marketing,13964740.78
Company_1,2017,IT Support,5443067.43
Company_1,2017,Product Development,8515050.96
Company_1,2017,Sales,5473273.86
Company_1,2017,Finance,20162825.29
Company_1,2017,Security,21902942.6
Company_1,2017,Customer Success,20640149.4
Company_1,2017,Business Intelligence,11420007.37
Company_1,2017,Operations,15168250.19
Company_1,2017,Legal,18605959.48
Company_1,2018,R&D,13626016.47
Company_1,2018,HR,13670700.74
Company_1,2018,Marketing,10603182.86
Company_1,2018,IT Support,15355516.58
Company_1,2018,Product Development,15613789.38
Company_1,2018,Sales,18072361.79
Company_1,2018,Finance,16365750.14
Company_1,2018,Security,13285879.88
Company_1,2018,Customer Success,7936072.97
Company_1,2018,Business Intelligence,3973181.51
Company_1,2018,Operations,6854329.34
Company_1,2018,Legal,9965504.38
Company_1,2019,R&D,21574465.05
Company_1,2019,HR,14424704.93
Company_1,2019,Marketing,8335986.89
Company_1,2019,IT Support,10825687.55
Company_1,2019,Product Development,7737526.67
Company_1,2019,Sales,8835364.07
Company_1,2019,Finance,6844838.89
Company_1,2019,Security,5296052.43
Company_1,2019,Customer Success,17180638.14
Company_1,2019,Business Intelligence,7791015.01
Company_1,2019,Operations,18029109.56
Company_1,2019,Legal,9185452.74
Company_1,2020,R&D,6103778.78
Company_1,2020,HR,13806002.2
Company_1,2020,Marketing,7254353.48
Company_1,2020,IT Support,11541294.43
Company_1,2020,Product Development,10326605.42
Company_1,2020,Sales,4114228.34
Company_1,2020,Finance,17586159.45
Company_1,2020,Security,4611511.18
Company_1,2020,Customer Success,16869360.96
Company_1,2020,Business Intelligence,10517588.58
Company_1,2020,Operations,17087417.27
Company_1,2020,Legal,9380010.16
Company_1,2021,R&D,15888812.08
Company_1,2021,HR,18998133.22
Company_1,2021,Marketing,7035625.89
Company_1,2021,IT Support,15265861.14
Company_1,2021,Product Development,13228437.52
Company_1,2021,Sales,16545099.58
Company_1,2021,Finance,8852769.09
Company_1,2021,Security,18127712.8
Company_1,2021,Customer Success,19987368.74
